Topic,Words
15,"vp, chez vp, vp depuis, bref vp, vp bref, retour vp, part vp, appelle vp, commande vp, bref, vp ventes promo, tres mensonger, vp victime, vp victime succès, scandaleux surtout"
16,"bottines, bottes, commandé bottines, commande bottes, bottines très, commande bottines, cuir, bottine, commandé bottes, bottines commandées, botte, commandées, commandé, belles, bien bottines"
17,"relay, mondial relay, mondial, point relay, point, colis, relay colis, chez, 01, adresse, chez mondial relay, retour mondial, retour mondial relay, chez mondial, mondial relay colis"
18,"montage, fonctionne, pile, cadran, mms, tension, montant, notice, notice montage, piles, neuve, fermoir, détails, fonctionnait, traces"
19,"pantalon, pantalons, reçu pantalon, veste, panier, pantalon rouge, pantalon trop, commande pantalon, taille, qualité pantalons, pantalon velours, pantalon trop petit, pantalons pantalon, cuisse, très déçue pantalon"
20,"voyage, réservation, réservé, voyages, agence, réservé voyage, réservations, travelski, annulé, paiement, avoir réservation, hébergeur, réservez, voyage privé, tour opérateur"
21,"emballage, emballé, bien emballé, très bien emballé, emballages, bien, emballage très, très bien, bien emballe, déçu emballage, emballage arrivé, emballage bien, léger, emballage peu, qualité emballage"
22,"bien passé, passé tout, bien passé tout, passé, très bien passé, tout bien passé, tout bien, tout très bien, passé tout très, tout très, passé tout bien, très bien, tout, bien, passe"
23,"qualité, vêtement, bonne qualité, vetements, bonne, médiocre, qualité bonne qualité, taillent, qualité qualité, qualité bonne, mauvaise qualité, qualité sous, qualité qualité médiocre, bonne qualité vêtement, qualité concerne"
24,"noël, noel, cadeau, cadeau noël, cadeaux, offrir noël, cadeau noel, cadeaux noël, offrir, nöel, enfants, avant noël, fille, celles ceux, jour cadeau"
25,"arrivé, état, jamais arrivé, arriver, arrivée, arrive, bon état, déjà arrivé, peut arriver jamais, arriver jamais arrivée, arriver jamais, peut arriver, état arrivé, ça arrive, arrivée bon état"
26,"commandé, chaussettes, commandé deux, deux, pairs, testoni, da, deux commandé, deux commandées, jacadi, couleur commandée, commandées, 2ème fois, donc rien, voulais"
27,"chinois, chine, made in, made, in, china, made in china, in china, chinoise, marques, fabriqué, fabriqués, venant, bas gamme, étiquette"
28,"taille, pointure, nike, new, jolies, new balance, superbes, commandé, taille petite, refais, balance, acheté, commandé très, reçu, prix défiant"
29,"marque, marques, cette marque, marque marque, qualité marque, marque recommande, marque confiance, faire preuves, forcément connue, marque forcément, marque forcément connue, cette, nom marque, recommande cette marque, marques proposées"
30,"voleurs, voleur, voleurs voleurs, bref voleurs, voleur voleurs, voleurs fuir, racontent, menteur voleur, gros gros, vrais voleurs, gros voleurs, bravo, menteur, gros, volé"
31,"pull, pulls, commandé pull, laine, blanc, pull blanc, acrylique, pull très, commandé, cachemire, nom, rib, fois jai acheté, déçue pull, laine réception"
32,"mars, début mars, mars toujours, mars 2020, mars 2021, fin mars, 2020, début, avril, 25 mars, 21 mars, mars commandé, fin, 27 mars, 11 mars"
33,"sérieux, sérieux sérieux, sérieux tout, manque sérieux, sérieuse, tout sérieux, sérieux malgré, sérieux doute, sérieux malgré plusieurs, avant sérieux maintenant, merci sérieux, sérieux maintenant, bla, avant sérieux, vraiment sérieux"
34,"incompétents, incompétence, incompétent, sav incompétent, bande, beaucoup beaucoup, incompétences, incompétence totale, absence, aucune, traîner, sans aucune, responsabilité, menteurs, sav"
35,"modèle, modèles, bon modèle, model, déçue modèle, modèles différents, car modèles, très déçue modèle, moitié cuir, mauvais modèle, deux modèles, photo, modèle reçu, different, modèle très"
36,"merci, merci merci, merci beaucoup, bien merci, continuation, bonne continuation, continuez, bonne journée, continuez comme ça, continuez comme, beaucoup, beaucoup bonne, très bien merci, merci tout, rien dire"
37,"déception, déception déception, grosse déception, déception totale, totale, quelle, déception quelle, quelle déception, déceptions, grosse, quelle déception quelle, déception quelle déception, déception déception déception, totale déception, déception perte"
38,"honte, honte honte, honteux, honte fuir, vraiment honte, honteux honte, honte plus, fuir, honteux honte fait, honteux pointée, honteux pointée mains, honteux arnaque allez, honteux honte écœurée, honteux arnaque, honteux tout"
39,"paypal, litige, litige paypal, ouvert litige, faveur, remboursement paypal, compte paypal, chez paypal, via paypal, ouvert, litiges, remboursé, ouvert litige paypal, paypal donc, souci paypal"
40,"veepee, veepee plus, veepee terminé, veepee veepee, veepee plus jamais, veepee devenu, terminé, veepee décharge, déçue veepee veepee, bravo veepee, bientôt veepee, acheter veepee, auprès veepee, voyagiste, déçue veepee"
41,"pâtissier, mixeur, valeur 400, laveur, 400, affaire, valeur, aucunes réponses, réponses, batteur, kitchenaid, répètent, euro, répond attentes, mauvaise couleur"
42,"rapport qualité, rapport, bon rapport, bon rapport qualité, rapport qualité prix, qualité prix, très bon rapport, très bon, bon, qualité, rapport qualité très, qualité très bon, prix, qualité prix très, qualité prix bon"
43,"canapé, angle, canapés, canapé angle, convertible, acheté canapé, achat canapé, pieds, cuir, commande canapé, assise, 2019, canapé cuir, convertible valeur, celui ci devait"
44,"expérience, mauvaise expérience, mauvaise, experience, dernière expérience, très mauvaise expérience, expériences, cette expérience, expérience donc, faire expérience, expérience pense, première dernière expérience, très mauvaise, négative, expérience très"
45,"main, isotherme, beau, cuir, petit isotherme, renard, main très, très beau, petit, poche, grand, odeur, superbe, qualité, part tache colle"
46,"grade, ipad, commandé ipad, grade reçu, défectueux, acheté, gb, batterie hs, décide acheter, 11, catégorie, reconditionnement, offert, commandé, état"
47,"lit, tête lit, tête, parure, parure lit, coussins, linge, linge lit, sans tête, coussins reçu, litige, après litige, acheté lit, monter, litiges"
48,"trottinette, électrique, trottinette électrique, acheté trottinette électrique, acheté trottinette, circuit, électriques, trottinettes, cette trottinette, zigo, marque urbanglide, trottinette frais, renvoyer trottinette, renvoyer trottinette frais, oxydée"
49,"belles, toute contente, éclaboussures, sandale, attaches, marque très, attache, pointure, toute, semelle, famille, beaucoup moins, très belles, petit, 39"
50,"professionnalisme, manque professionnalisme, professionnel, manque, merci professionnalisme, professionnelle, professionnalisme manque, tout professionnel, aucun professionnalisme, professionnalisme tout professionnel, professionnel merci professionnalisme, professionnel tout, professionnalisme tout, professionnel merci, quel manque professionnalisme"
51,"inadmissible, inadmissible inadmissible, inadmissible trouve, ça inadmissible, trouve ça inadmissible, trouve cela inadmissible, cela inadmissible, trouve, trouve cela, inadmissible trouve ça, trouve ça, simplement inadmissible inadmissible, inadmissible prix, inadmissible tout simplement, inadmissible tout"
52,"rappeler, rappel, rappelle, toujours appel donc, après toujours rien, appel donc, toujours appel, toujours rien, vs, va rappeler, toujours, or rien toujours, rien toujours rappeler, vs rappelle, prsn"
53,"bagues, pierre, or, doigt, fine, diamant, très fine, carat, argent plaqué or, argent plaqué, photo, plaqué or, plaqué, photos très, traces"
54,"nickel, nickel rien, tout nickel, nickel nickel, nickels, dire tout nickel, nickel rien redire, nickel donc, nickel rien dire, produits nickels, emballage nickel, tout nickel produits, nickel livraison, nickel produits, nickel taille"
55,"description, conforme description, description conforme, description conforme description, description correspond, conforme description conforme, conforme, correspond, conforme description correspond, qualité conforme, correspond description, conformes description conforme, description correspond description, belle qualité conforme, qualité conforme description"
56,"première fois, première, fois première, première fois première, fois première fois, fois, arrive première, fois cela arrive, cela arrive, fois cela, première fois cela, déçue première, cela arrive première, déçue première fois, arrive première fois"
57,"créoles, colliers, gémeaux, épaisse, très bas gamme, erreur livraison, très bas, fermoir, signe, très, bas gamme, offert, plutôt triste réalité, toujours grossies, fines partie argentée"
58,"consommateurs, association, consommateur, associations, association consommateurs, défense, défense consommateurs, associations consommateurs, consommation, appel association consommateurs, appel association, consommateurs vais, droits, association consommateur, droit consommateurs"
59,"dommage, dommage dommage, dommage car, tout dommage, quand dommage, dommage déçue, marque dommage, dommages dommage, dommage bien, dommages, faux espoir dommage, fois ci dommage, fois dommage, fard paupieres, heureusement renvoie tout"
60,"temps, voir temps, temps voir, temps voir temps, combien temps, temps cela, combien, voir, combien temps cela, arrivé temps, temps arrivé temps, verra temps voir, cela va durer, temps arrivé, verra temps"
61,"scandaleux, scandale, scandaleuse, scandaleux scandaleux, simplement scandaleux, juste scandale, scandale scandaleux, commande scandaleuse, tout simplement scandaleux, trouve ça scandaleux, ça scandaleux, honteux, cela scandaleux, trouve cela scandaleux, nul nul"
62,"enfants, petits enfants, enfant, petits, ravis, survêtements, tous enfants, enfants ravis, petits enfants ravis, enfant ans, joie, cadeaux, parents, sous sapin, noël"
63,"matière, matière très, matières, déçue matière, agréable, matière matière, matière plus, matière matière très, matière déçue, matière déçue matière, coupe matière, matière agréable, déçu matière, matière qualité, bonne matière"
64,"attendais, conforme attendais, attendais conforme, attendu, attendait, exactement, attendais exactement, attendais conforme attendais, attendais tout fait, attendais tout, quoi attendais, attend, conforme, tout temps, quelque chose"
65,"fraudes, répression fraudes, répression, direction, direction générale, frauduleuse, générale, charlatans, saisir direction, sanctionner, comportement frauduleux, vais ouvrir, procédés, réfléchis, consommation"
66,"cadeau, cadeau cadeau, beaucoup cadeau, offre cadeau, cadeau donc, heureusement cadeau, merci beaucoup cadeau, heureusement cadeau cadeau, fidélité, cadeau fidélité, cadeau faire, plu, cadeaux, merci beaucoup, déballer cadeau"
67,"habitude, comme habitude, comme, habitude comme habitude, parfait comme habitude, habitude comme, comme habitude très, habitude très, parfait comme, comme habitude comme, bien comme habitude, très bien comme, bien comme, habitude rien dire, habitude rien"
68,"covid, coronavirus, cause covid, cause, bon dos, période covid, période, annulé cause covid, covid covid, covid bon, virus, annulé cause, annulé, dos, covid19"
69,"coup, coup coup, commande 230077467, 230077467, ça vaut, coup vais, ça vaut coup, vaut coup, vaut, coups, refuser, inadmissible fuyez première, haut douchette petit, inadmissible fuyez, lorsqu reçu mal"
70,"affaires, bonnes affaires, bonnes, affaire, final, affaires final, faire affaires, pense faire, affaires très, bonnes affaires final, très bonnes affaires, faire bonnes, faire bonnes affaires, très bonnes, couches"
71,"renvoyer, renvoyer donc, vais renvoyer, renvoyer vais renvoyer, renvoyer donc renvoyé, renvoyer vais, avoir autre, renvoyées, renvoyer car, donc renvoyé, renvoie, renvoyé, remplacement bien sentie, remplacement bien, renseigner grave"
72,"cuisine, casseroles, cook, farine, paquets farine, cook angel, angel, batterie cuisine, cassées, meubles cuisine, gluten, glaçon cassé, glaçon, arthur martin, batterie"
73,"adresse, adresse livraison, changer adresse, changer adresse livraison, changer, peuvent changer adresse, adresse commande, livré adresse indiquée, peuvent changer, livré adresse, peut changer, peut changer adresse, ni annuler, adresse indiquée, faire changement"
74,"porter, porter plainte, agréable porter, plainte, agréable, bien agréable porter, porter impossible, bien agréable, hui porter plainte, aujourd hui porter, porter impossible porter, hui porter, pourrais porter, porter très, porter plainte escroquerie"
75,"informé, informée, tenir informée, informations, information, savez, tellement, donnée, informe, informatique, tenir, informer, informé amont jours, informé amis, informé vente"
76,"société, cette société, réseaux sociaux, sociaux, réseaux, société bien, donc société, cette, clique, societe, pub, problèmes espère, problèmes espère société, pub assurée, prendre sous"
77,"tv, meuble tv, meuble, home, home cinéma, cinéma, commande meuble tv, commandé meuble tv, commandé meuble, commande meuble, meuble tv table, meuble tv arrivé, tv table, ensemble home, tv arrivé"
78,"très contente, contente, contente très, contente très contente, très contente très, content, content très, très content, bien très, fils très content, très content très, très contente contente, contente fils très, très contente fils, contente contente"
79,"paquet, paquet arrivé, paquet arrivé ouvert, bien paquet, arrivé, ouvert, lettres, grammes, poste, arrivé ouvert, portail, boite lettres, paquets, mis, poste locale"
80,"chaise, chaises, chaise manquante, si fin, acheté chaises, manquante, deux chaises, débrouiller, celà, recommande chaises pieds, endroit accoudoir, endroit accoudoir où, enfants dont peut, enfants dont, reliait"
81,"soleil, guess, avis si, reçu copies, avis si reçu, reçu copies contrefaits, copies contrefaits, copies contrefaits lors, contrefaits lors cette, alors avis si, contrefaits lors, si reçu copies, lors cette, commandé soleil, lors cette commande"
82,"disney, séjour, disneyland, séjour disney, hôtel, disneyland paris, paris, parc, personnes, vers disney, voyage, mari, modifier, new, vers"
83,"plus plus, plus plus plus, plus, plus plus déçu, plus déçu, plus plus nul, déçu plus plus, nul plus plus, déçu plus, nul plus, plus nul, demander plus, dix, déçu, nul"
84,"ensemble, bien ensemble, très bien ensemble, ensemble très, bien ensemble très, ensemble très bien, ensemble ensemble, bien ensemble ensemble, très bien, bon ensemble, bien, lit dommage, trop grand verra, lit dommage car, haut légèrement trop"
85,"malheureusement, malhonnête, malheureusement trop, fait malheureusement, très malhonnête, malhonnêteté, malheureusement plus, malheureusement plus déteste, malheureusement malgré demande, malheureusement trop tard, malheureusement trop grand, malhonnête extrêmement, malhonnête extrêmement déçue, malhonnête malhonnêteté, malhonnête malhonnêteté mauvaise"
86,"publicité, publicité mensongère, mensongère, mensongère publicité mensongère, mensongère publicité, publicité mensongère publicité, publicité mensongère vol, mensongère vol, publicités mensongères, publicités, mensonge, mensongères, vol, recommande tout, mensongères veepee"
87,"garde quand, garde, quand garde, garde quand garde, quand garde quand, bon garde, quand, bizarre, offrir mêmes motifs, truc bizarre, peu cellulite, persiste garde, persiste garde quand, être jamais troisième, mêmes prochainement gardé"
88,"magnifique, magnifique magnifique, magnifique très, magnifique très très, juste magnifique, magnifiques, magnifique produit, vraiment magnifique, magnifique vrai moche, magnifique très design, magnifiques magnifique, magnifiques magnifique très, magnifiques reçu, magnifique vrai, magnifiques reçu commande"
89,"rien redire, redire, parfait rien, parfait rien redire, tout parfait rien, parfait, rien redire parfait, redire parfait, redire tout, rien redire tout, redire parfait rien, tout parfait, dire tout parfait, rien, parfait rien dire"
90,"expédition rapide, expédition, rapide, expédition rapide produits, rapide expédition rapide, rapide expédition, expédition rapide expédition, rapidité expédition, expédition très, rapide produits, napapijri passée jour, napapijri passée, marquées, mouche sans compter, offre expédition"
91,"rien dire, parfait rien dire, parfait rien, dire, rien dire rien, dire rien, rien dire parfait, dire parfait, dire rien dire, parfait, dire parfait rien, rien, dire parfait parfait, parfait parfait rien, rien dire juste"
92,"jeans, commandé jeans, jean, pepe jeans, pepe, taillés, pantalon, jeans trop, jones, jeans taillés petit, jeans stylés plupart, jeans trop petite, jones reçu, jeans colis, jeans stylés"
93,"fille, fille ravie, ravie, fille fille, fille très, petite fille, tenue, ravie fille, fille fille ravie, etais, petite, gardé fille fille, galèré trouver autre, gardé fille, grands fille"
94,"déçue très déçue, déçue très, très déçue très, très déçue, déçue, déçue extrêmement, très déçue extrêmement, très, très très déçue, très très, déçue évidemment très, déçue évidemment, évidemment très, déçue très très, présent disponible"
95,"commentaires, commentaire, espère commentaire, commentaires précédents, autres commentaires, précédents, laisser commentaires, jusqu possible enfin, jusqu possible, laisser commentaires là, lire autre, laissé commentaire instagram, lire autre commentaire, incident isolé croire, lisant peu"
96,"confinement, période, période confinement, après confinement, avant confinement, durant confinement, cas confinement, durant, plein confinement, pendant période confinement, pendant période, très pratique durant, long commande mise, livrés confinement, mai hors organisateur"
97,"fermeture, fermeture éclair, éclair, anse, petit défaut, cassée, défaut, couture, fermer, fonctionnait mal prix, frontale gênante juste, fonctionnait mal, fermoir cassé autre, frontale gênante, haut biais"
98,"négatifs, avis, avis négatifs, négatif, commentaires négatifs, avis négatif, commentaires, mettre avis négatif, négatifs viens, avis très positif, avis très, très positif, mettre avis, tous avis, positif"
99,"rapide produit conforme, rapide produit, produit conforme, livraison rapide, livraison rapide produit, produit conforme livraison, rapide, conforme livraison, conforme livraison rapide, conforme, attentes livraison rapide, attentes livraison, livraison rapide livraison, produit, conforme attentes livraison"
100,"service dégrade, dégradation, dégrade, plus plus, déplorable constate, service dégrade plus, qualité service, dégrade plus plus, dégrade plus, degrade, services, service, service plus, constate, dégradation service"
101,"arrivées, mortes, terre, arrivées mortes, terre partout, plants, cm, partout, frais port gonflés, irrécupérable commandé quelques, franchement terribles, franchement terribles plants, fruitiers, très belles images, fruitiers grimpantes"
102,"batterie, chargeur, sans fil, fil, déclaré, tout abord, grade, seul, abord, fil tout, moto arrivé, mois sans tout, mettre autre commandé, mettre autre, marchait recois enfin"
103,"tout recommande tout, tout recommande, recommande tout, recommande tout recommande, recommande, tout, tout conseille, conseil tout, rien tout, recommande tout crois, recommande tout conseille, recommande malgré tout, recommande malgré, recommande alors tout, rien tout conseille"
104,"promo, code promo, code, coupon, promotion, codes, bénéficier code, photoweb, rendue compte, rendue, enregistré, valider, bénéficier, payés plein, passé jour commande"
105,"correspondent, articles correspondent, correspondent bien, correspondent description articles, conditions éligibilité, éligibilité, attentes correspondent, correspondent attentes correspondent, correspondent bien attentes, description articles correspondent, bien attentes très, attente articles correspondent, articles, articles correspondent exactement, articles correspondent attentes"
106,"conforme photos, photos, conformes photos, produit conforme photos, conformes, produit conforme, produits conformes photos, produits conformes, conforme, conforme photos produits, produit conforme image, photos produits, conforme image, photos fines, photos bon marchandise"
107,"moque, monde, moque moque, planète, planète moque, moque monde moque, monde moque, moque monde, tout monde, moque peu monde, moque moquez monde, moque moquez, moque moque moque, moque moque moquez, moque vient"
108,"promos, promotions, promo, promotion, fausses, fausses promos, promo juste, fausses promotions, fausse, quand commande, nouvelles démarque quand, nouvelles démarque, nombreuses fausses promotions, nombreuses fausses, parfois trompeuses"
109,"dgccrf, auprès dgccrf, tribunal, saisir, dgccrf vais, saisir dgccrf, plainte auprès dgccrf, plainte auprès, abus, groupe, juridique, vais, auprès, action, pratiques"
110,"tissu, tissus, qualité tissus, qualité tissu, espérais, qualité, qualité espérais, qualité couture tient, produit car tissu, qualité espérais meilleure, qualité semblent, qualité finition décevante, qualité semblent solides, prix qualité tissus, qualité tissu confort"
111,"respectés, délais respectés, délais, respecté, délais non, délai respecté délais, respecté délais, délais non respectés, délai respecté, non respectés, non respecté, respecter, soucis respectez, persévérance délais indiqués, non respecté mois"
112,"chemin, passez, passez chemin, conseil passez, conseil passez chemin, passer chemin, conseil, passé chemin, passer, si voulez, voulez, désormais, jour demande, janvier chez vente, jour demande remboursement"
113,"infinity, abonnement, abonnement infinity, service infinity, domicile, offre infinity, livraison domicile, adhéré, 0e, infinity 20, carte infinity, relais non, point relais non, avoir payer, souscrit"
114,"surprise, surprise surprise, grande surprise, surprise deux solutions, être taxé grande, surprise deux, surprise donc gâchée, surprise donc, mois retard content, moindre retour fait, modèle surprise constater, moindre retour, modèle surprise, micro tasses commandé, micro tasses"
115,"métal, assise, metal, fauteuil, métallique, couvercle, boîtes, bois, montage vis écrous, métal fixée adhésif, métal fixée, métal déjà oxydé, métal déjà, metals clé alène, métal creux boîtes"
116,"collection, collection irl, irl, satisfaite collection, très satisfaite collection, satisfaite collection irl, irl très, catalogue, collections, irl collections, irl hauteur, irl collections irl, irl collection, irl collection grossesse, irl mis"
117,"meuble, meubles, meuble occasion, meuble si, meuble livré, occasion, planches, meuble vaet, meuble vaet passe, meubles caisses, meubles caisses bois, meubles propres, meuble tv poste, meuble si tout, meubles reçus"
118,"sweat, jogging, qualité sweat, jogging très, reçu sweat, sweat capuche, commandé sweat, nasa, capuche, petit sweat diesel, petit taille noté, photo portait, petit sweat, petit qualité sweat, photos joggings"
119,"économie, faire économies, économies, économique, écologique, plus 50, mode, société consommation, sous retiens, société consommation ça, livraison ceux, sinthetique fait autant, livraison économique, livraison ceux transport, livraison économique raccroche"
120,"amazon, amazone, bye, livraisons amazon zalando, livraisons amazon, jusqu 30, livré lendemain non, longtemps puis vérifiant, mai prenez, mai prenez exemple, malheureux dire, malheureux dire concurrents, livré lendemain, livraison sav malheureux, moin cas souci"
121,"top, top top, top tout, top tout top, tout top, top top tout, top merci, orna, original vraiment, orna faro, paraît beaucoup plus, original vraiment top, mille fois bon, merci salutations top, photo fois peu"
122,"protection, aucune protection, carton, cartons, sans aucune protection, protection carton, protection mis, traversin, sans aucune, aucune, housse, livré sans carton, livreur entassé carton, livré cassé dommage, mal fermé complètement"
123,"solutions, solution, résolu, solutions alternatives, alternatives, problème résolu, solution proposée, problème, trouver solution, proposée, pu être, avis, quand suite surtout, ravie apprendre réponse, ravie apprendre"
124,"matelas, matelas reprend, matelas faire, reprend, shoroom, acheter autre, sommier, matelas vois, matin quel dommage, matin quel, matelas vois prends, matelas va être, matelas va, matelas livré enroulé, mois constater matelas"
125,"tribunal, justice, action justice, judiciaire, plainte tribunal, action, plainte, porter plainte, instance loi, recours possible après, intenter action justice, intenter action, instance loi prévoit, recours possible, jours nouvelle"
126,"client inexistant service, incompétent, inexistant service client, incompétent service client, incompétent service, inexistant service, service client, service client inexistant, client inexistant, client, client nullissime, service client nullissime, nullissime, service, inexistant"
127,"attention, bien attention, faire bien attention, attention attention, bien attention attention, faire bien, prudents, fuyez, fuyez fuyez, plus attention, faites, faites attention, merci attention, merci attention faire, loa prochaine fois"
128,"beige, rose, rouge, noir, écru, alors commandé, blanche, partie blanche, déteint partie blanche, déteint partie, alors commandé noir, écru beige, commandé noir, déteint, partie"
129,"dimensions, cm, 250, rideau, grand cahier, grand cahier entre, hauteur après, hauteur après mesure, horloge ben pareil, horloge ben, ironique, ironique devons, gris rouge 60, fait 190, là assurer"
130,"retrouve, coup retrouve, coincée, hôpital, retrouvé, retrouve donc, nouvelles demande pourrait, nouvelles demande, noires retrouve cette, noires retrouve, passé attendant, paris retrouvée mains, paris retrouvée, passé attendant retour, peu déçue retrouver"
131,"colère, très colère, colère très colère, colère très, colere, vraiment colère, très colère vraiment, hyper déçue part, incompréhension colère, faveur incompréhension, faveur incompréhension colère, être excédée, explose colère colère, incompréhension colère très, explose colère"
132,"politique, politique retour, revoir, politique retour revoir, retour revoir, revoir politique, politique retour va, politique retours, politique retour simplement, politique retour avantage, politique livreurs modifier, politique retours faut, politique savais, politique savais politique, politique ceux"
133,"anniversaire, cadeau, cadeau anniversaire, cadeau fête, fête, anniversaire fille, cadeau fête pères, mères, car cadeau anniversaire, fête mères, car cadeau, fête pères, pères, fille, fêter anniversaire jamais"
134,"turn, re turn, re, turn veepee, re turn veepee, système re, système re turn, système, turn éviter, complexe, utilisez, veepee, ré, re turn re, re turn éviter"
135,"signaler, rien signaler, signaler rien, particulier, particulier signaler, rien particulier signaler, rien particulier, rien signaler rien, particulier signaler rien, rien signaler tout, signaler rien signaler, signaler tout, signaler particulier rien, signaler particulier, signaler tout bien"
136,"absolument, recommande absolument, fuir absolument, absolument recommande, absolument recommande absolument, recommande absolument recommande, recommande, fuir, fuiiiiiiiir absolument contrefaçon, fuiiiiiiiir, fuiiiiiiiir absolument, eviter absolument aucun, entreprise suivre donc, entreprise suivre, fuire absolument"
137,"prestation, prestations, cette prestation, prestation très, pis paiera, pense dernière suite, pis paiera plus, place cela, pleine confiance, place cela fait, pleine confiance vendez, plus cher cette, plus place cela, peux utiliser bien, plusieurs colis commandés"
138,"pyjama, pyjamas, passé commande pyjamas, seulement lieu, parfait bonne taille, xl ravie pyjamas, parfait bonne, seulement lieu autres, non elles vraiment, obligé renvoyer article, non elles, niveau animaux haut, niveau animaux, reçu bodies bretelles, stocks bout"
139,"barbecue, canapé, commandé canapé, bonjour commandé canapé, coté, commandé canapé vente, canapé vente, plus jamais vente, logement, jamais vente, cauchemar, camping, bonjour commande, bonjour, bonjour commandé"
140,"privée plus, privee plus hauteur, dommage privée, plus hauteur, privee plus, privée, privee, polie alors merci, polie alors, plus plus déplorables, plus hauteur succès, plus hauteur débuts, être prise ps, société privée souhaite, plus déplorables"
141,"achat frais livraison, bon achat frais, achat frais, contenu, féminine coup retourné, hontea cela répond, intelligent mettant, hygiène féminine coup, hygiène féminine, intelligent mettant bon, jour reçois deux, interlocuteur commande haircare, interlocuteur commande, hontea cela, livraison non sens"
142,"hélas, heureuse, heureusement, heureuse avoir connus, heureuse heureusement congé, heureuse heureusement, heureuse hélas, heureuse hélas dû, heureusement congé, heureusement congé pu, heureusement juste, heureusement juste après, heureusement penser, heureusement penser heureusement, heureusement ça"
143,"suite, attends suite, suite attendons, attendons suite, suite attendons suite, sans suite, attendons, attends, tout suite, suite attends suite, sans suite attends, suite cet unième, renvoyé attends, sollicitations reste sans, sans suite attendons"
144,"jamais problème, aucun problème, problème, problème jusqu, jamais aucun problème, jamais problèmes, jamais, jamais aucun, jusqu présent, là commanderai plus, patience également aucun, patience également, nouvelles saisirais justice, nouvelles saisirais, jusqu présent là"
145,"silence radio, radio, silence, client silence radio, client silence, service client silence, radio depuis, silence radio depuis, depuis 12, jour silence, répond veepee faire, jour silence radio, moment où besoin, jamais porter dont, lamentable jour"
146,"logistique, logique, problème logistique, problèmes logistiques, logistiques, logistique livrée part, logistique jour tres, logistique livrée, logistique gros problème, logistique jour, logistique gros, logistique fréquentes jour, logistique prends initiative, logistique totalement, logistique entrepôt erreur"
147,"dyson, v11, dyson v11, commandé dyson, commandé dyson v11, acheté dyson, 10 2020, devait, devait être, octobre, devait être livré, dyson socle juin, dyson socle, dyson v11 reste, quand acheté dyson"
148,"escrocs, bande, escrocs escrocs, escroc, etes, honte etes, gros escroc gros, gros menteur, gros menteur ayer, gros escroc, gens fait, gens fait découverte, fait découverte, etes menteurs, fait découverte gros"
149,"hâte, encore utilisé, utilisé, utiliser, être cet porter, hâte essayer hâte, hâte savoir, hâte savoir vont, hâte utiliser, hâte utiliser encore, hâte voir mauve, hâte être, utiliser encore utilisé, hâte recevoir hate, utiliser encore"
150,"commerçant, commerciaux, tout commerçant, commerçants, gagne comme, être estimation lots, font affaire, réveurs ex, fer font affaire, fer font, réveurs ex soldeur, réveurs, font affaire vie, gagne comme casino, sans aucun stress"
