Topic,Words
10,"adresse, mail, mails, envoyer, envoye, envoyes, reception, envoi, email, envoie, receptionne, domicile, poste, lettres, relay, relais, arrives, maison, transport, refuse, transporteur, reclamation, emballage, message, commande, chez, expedition, messages, amazon, gestion, livreur, dedommagement, renvoyer, incomplete, refuser, commanderais, incompetence, reclamations, excuse, non, ne, commandes, paquet, annulation, commandees, incompetent, commandee, km, expedie, commander"
11,"chaussures, chaussure, sandales, pieds, baskets, pied, contacte, contact, bottines, contacter, paires, pantalon, lunettes, paire, correspondent, robes, belles, beaux, cartons, jolies, belle, boutique, boucles, tailles, communication, robe, marchandises, petites, excellent, bijoux, achats, cuir, stocks, petits, mauvaises, plastique, qualites, mails, tapis, appels, emballes, bonnes, maillot, casses, manteau, beau, excuses, pieces, magnifique, bons"
12,"refuse, jamais, aucun, aucune, refuser, inacceptable, rien, incomplete, commande, inadmissible, ne, incompetent, non, pas, personne, ni, commandes, manquant, mecontente, mai, commandee, envoye, incapable, commandees, sans, envoyes, egalement, envoyer, incompetence, envoie, inexistant, annuler, moi, nul, commanderai, manquants, fallait, nez, commandez, manque, annulee, commanderais, commander, devais, reception, excuse, envoi, mi, me, regrette"
13,"meuble, meubles, chaises, portable, table, plainte, incompetence, honte, excuse, incompetent, mecontente, lamentable, defectueux, cliente, excuses, clientele, decevant, honteux, regrette, incompetents, remboursements, reception, dedommagement, inadmissible, dommage, incomplete, canape, scandaleux, client, inacceptable, non, remboursement, ne, clients, gestion, receptionne, pas, refuse, mail, remboursent, annulation, reclamation, mal, ni, commande, rien, catastrophique, banque, mediocre, achats"
14,"cliente, clientele, client, clients, service, services, consommateurs, fournisseur, port, attendant, plainte, incompetent, incompetence, inacceptable, patienter, incompetents, reception, vendeur, refuse, receptionne, interieur, inadmissible, incomplete, satisfaction, refuser, correspondent, attente, porter, attentes, inexistant, decevant, defectueux, mecontente, mediocre, ventes, responsable, livreur, commande, arrives, lamentable, venteprivee, remboursent, commandes, transporteur, excuse, erreur, contente, retard, attendre, envoi"
15,"chaussure, chaussures, contacte, pieds, remboursements, sandales, contacter, contact, baskets, cliente, clientele, clients, rembourses, achats, remboursement, pied, boutique, rembourse, client, facture, paiement, marchandises, remboursent, acheter, commandes, payer, charge, correspondent, rembourser, achete, paires, commandees, remboursee, bottines, consommateurs, achetez, achat, mails, commande, excuses, euros, mail, excuse, gestion, pantalon, euro, plainte, reclamations, paye, paire"
16,"article, articles, produits, refuse, mail, excuse, mails, refuser, incomplete, objet, incompetent, email, regrette, incompetence, annulation, inacceptable, choses, excuses, envoyes, piece, erreur, lettres, lamentable, emballage, dedommagement, envoye, reclamation, envoyer, mecontente, pieces, plainte, inadmissible, manquants, me, manquant, paquet, defectueux, plastique, moi, eu, nouvelles, dommage, incompetents, marchandises, messages, message, reclamations, rien, produit, manque"
17,"periode, temps, moment, heure, instant, heures, longtemps, minutes, retard, immediatement, arrives, dates, lorsque, tard, lorsqu, parfois, long, longs, attente, quand, longue, present, attendant, produits, date, etat, attendre, rapidement, attends, venteprivee, vente, presente, espere, attend, arrive, produit, attendu, toujours, arrivent, depuis, marchandises, jours, arrivee, fois, conformes, envoi, attendais, regulierement, arrivees, souvent"
18,"satisfait, satisfaite, produits, satisfaction, contente, articles, produit, heureusement, article, excellent, sympa, super, adore, bonnes, merci, bons, accepte, parfaite, remercie, mecontente, marchandises, conforme, parfait, conformes, bonne, completement, interessant, moi, cadeaux, convient, cadeau, interessants, emballage, eu, bien, complete, totalement, bravo, parfaitement, magnifique, bon, me, ok, tellement, consommateurs, decevant, fiable, recevoir, franchement, bonjour"
19,"emballage, sac, paquet, valise, emballe, portable, tissu, carton, porter, emballes, cartons, tissus, plastique, baskets, internet, manteau, transporteur, article, canape, port, pantalon, magnifique, mail, bracelet, articles, gestion, excellent, rouge, transport, robe, collection, bague, marchandises, noir, achats, paypal, mails, boutique, lamentable, beau, mediocre, cadeau, email, couleurs, moi, couleur, regrette, euro, achat, mecontente"
20,"rapidement, rapide, rapidite, immediatement, produits, produit, instant, retard, expediee, arrives, marchandises, excellent, vite, expedie, tard, fort, preparation, livraisons, livraison, efficace, agreable, arrivent, arrive, novembre, transport, arrivees, presque, bonnes, attendant, transporteur, arrivee, seconde, bons, directement, stock, super, envoi, achats, minutes, amazon, marchandise, emballage, vendu, longtemps, fournisseur, ventes, meilleur, vendeur, articles, facile"
21,"attentes, venteprivee, attente, attendais, espere, attendre, attendu, attends, attend, vente, attendant, prevue, decevant, satisfaction, satisfait, satisfaite, aupres, surprise, pris, respectes, demandant, retard, souhaite, respecte, conformes, demandes, mecontente, respect, heureusement, patienter, garantie, conforme, prevenu, demande, assure, correspondait, me, obligee, arrives, correspond, preparation, veux, oblige, eu, contente, moi, fiable, veut, offre, prefere"
22,"parfaite, parfait, bonne, bientot, bons, bien, convient, bonnes, parfaitement, tot, bravo, bon, mieux, ok, totalement, tout, fin, toute, super, bague, correctement, toutes, excellent, tous, absolument, bout, normalement, juste, mal, exactement, enfin, meilleur, colissimo, totale, presque, soit, fini, mauvaise, pire, total, soient, surtout, mauvais, sympa, va, totalite, afin, complete, vetement, tiens"
23,"produits, produit, excellent, satisfait, satisfaite, marchandises, satisfaction, contente, bonnes, agreable, bons, parfaite, articles, livraison, livraisons, heureusement, parfait, conforme, conformes, article, sympa, bonne, convient, correspondait, completement, super, qualite, meilleur, correspond, recevoir, mieux, bientot, fiable, validee, arrives, bague, complete, efficace, emballage, bon, preparation, totalement, beau, cadeaux, accepte, cadeau, qualites, effectivement, beaux, magnifique"
24,"qualite, qualites, excellent, bonnes, bons, agreable, parfaite, produits, magnifique, contente, parfait, super, beau, meilleur, bonne, mieux, beaux, belles, produit, sympa, mediocre, niveau, bague, satisfaite, satisfait, bon, mauvaise, articles, satisfaction, mauvaises, mauvais, fiable, impeccable, belle, efficace, article, bravo, bien, fortement, bientot, heureusement, respect, respectes, couette, convient, precise, respecte, choses, validee, incompetent"
25,"dates, date, avant, arrives, lendemain, janvier, prevue, devant, novembre, fevrier, retard, avril, decembre, aujourd, immediatement, tard, mars, preparation, juin, octobre, jours, present, reception, venteprivee, septembre, juillet, anniversaire, attente, periode, presente, attendant, arrive, arrivent, semaines, attendais, arrivee, reservation, jour, receptionne, avance, depuis, attentes, semaine, commande, mois, arrivees, journee, debut, prevenu, reserve"
26,"decevant, lamentable, endommage, dommage, mecontente, incompetent, incompetence, manque, defectueux, malheureusement, dedommagement, inadmissible, faute, scandaleux, incompetents, honteux, regrette, desole, incomplete, desagreable, plainte, defauts, mauvaises, excuses, catastrophique, mauvaise, egalement, excuse, mauvais, manquants, deception, honte, article, inacceptable, peine, deplorable, aupres, inexistant, erreur, manquant, articles, mal, sans, fallait, perte, mediocre, deconseille, malhonnete, faux, malgre"
27,"qualites, qualite, incompetence, mediocre, incompetents, incompetent, mauvaises, defectueux, mauvaise, lamentable, endommage, mauvais, niveau, inadmissible, decevant, desagreable, dommage, inacceptable, honteux, produits, catastrophique, degrade, deplorable, scandaleux, dedommagement, articles, plainte, mecontente, honte, incomplete, malheureusement, agreable, impeccable, faute, article, defauts, contente, regrette, inexistant, egalement, produit, manque, excellent, respect, deception, excuses, mal, excuse, pire, respectes"
28,"petites, petits, petite, minimum, moindre, moins, taille, enorme, petit, grosse, peu, tailles, grande, gros, trop, assez, grand, colissimo, tellement, quelques, presque, beaucoup, mesure, mediocre, fortement, lot, moyenne, long, hauteur, bague, longs, nombreuses, pire, longue, ressemble, quant, mauvaise, beaux, mal, dessous, mauvais, malheureusement, dommage, reduction, lamentable, nombreux, mauvaises, super, longtemps, semble"
29,"prix, valeur, excellent, qualite, qualites, bonnes, produits, bons, meilleur, produit, super, mieux, charge, articles, bonne, contente, respect, payer, niveau, parfaite, mauvaise, mediocre, article, parfait, prise, mauvaises, mauvais, beau, agreable, sympa, efficace, respectes, marchandises, bon, euro, offre, magnifique, bague, remboursent, fortement, argent, satisfaction, heureusement, paiement, cadeaux, paye, frais, interessants, offert, euros"
30,"mois, janvier, novembre, avril, dates, octobre, semaines, longtemps, septembre, long, juin, retard, fevrier, date, periode, semaine, attente, longue, mars, vente, longs, attendre, rapidement, tard, espere, venteprivee, seconde, juillet, attendais, deuxieme, minutes, decembre, attendu, attendant, immediatement, attends, decevant, second, attend, mes, commande, attentes, commandes, rapide, refuse, lamentable, remboursements, mail, honte, mecontente"
31,"acheter, achete, achetez, achat, achats, satisfait, satisfaite, satisfaction, heureusement, vendu, vendre, contente, marchandises, cadeau, vendent, excellent, mecontente, ventes, sympa, vendeur, cadeaux, amazon, accepte, consommateurs, offrir, adore, boutique, merci, remercie, offre, super, bons, bonnes, marchandise, recevoir, conforme, payer, convient, decevant, bague, souhaite, bonne, abonnement, moi, parfaite, paiement, obtenir, offert, parfait, donner"
32,"rapidement, rapide, rapidite, immediatement, acheter, satisfaction, satisfait, achats, satisfaite, achete, achat, arrives, achetez, contente, amazon, marchandises, instant, heureusement, retard, expediee, commande, excellent, expedie, envoyer, cadeau, vendre, vendu, novembre, envoye, ventes, accepte, vite, attendant, commandes, envoyes, fournisseur, vendent, vendeur, attendais, commandee, envoi, commandees, tard, seconde, offre, mecontente, envoie, sympa, fort, stock"
33,"site, sites, place, excellent, internet, article, adresse, serieux, articles, recommander, recommande, lieu, recommanderai, interessant, com, interessants, contente, bonnes, fortement, conseille, bons, fiable, info, parfaite, magnifique, parfait, super, ici, sympa, sur, amazon, bonne, conseil, beaux, hier, adore, vraiment, beau, heureusement, mail, mauvaise, email, convient, precise, mauvaises, mauvais, mieux, deconseille, agreable, extremement"
34,"remboursements, fils, remboursement, facture, acheter, achats, cadeau, remboursent, enfants, payer, paiement, rembourse, annulation, cliente, rembourses, achete, achat, clientele, rembourser, charge, remboursee, achetez, paye, client, refuse, commande, gestion, incompetence, clients, commandes, cadeaux, amazon, reclamation, mail, euros, petit, fille, plastique, plainte, dedommagement, excuse, emballage, responsable, annuler, commandees, boutique, euro, regler, service, incompetent"
35,"rapide, rapidement, rapidite, immediatement, qualite, qualites, excellent, produits, instant, retard, produit, arrives, expediee, marchandises, tard, articles, vite, niveau, expedie, transport, prix, novembre, efficace, fort, bonnes, article, agreable, bons, contente, minutes, mediocre, seconde, transporteur, emballage, super, livraison, preparation, livraisons, meilleur, valeur, attendant, stock, expedition, achats, satisfaction, magnifique, respect, arrive, precise, arrivent"
36,"euro, euros, remboursement, charge, remboursent, remboursee, rembourse, remboursements, payer, rembourser, rembourses, prix, paye, reclamation, paiement, retractation, retours, gratuit, renvoie, facture, reclamations, retour, renvoyer, reconditionne, renvoye, relance, retourner, argent, retourne, recuperer, relances, relay, recupere, relais, reactif, repondre, reduction, revanche, rendre, repond, redire, livre, article, frais, cadeau, honte, livraison, envoi, lamentable, reponse"
37,"annulation, annuler, reservation, remboursements, refuse, annulee, vacances, facture, excuse, voyage, inacceptable, remboursement, excuses, plainte, inadmissible, remboursent, annule, refuser, incompetence, rembourse, dedommagement, honte, rembourses, incompetent, reclamation, payer, paiement, defectueux, incomplete, remboursee, reserve, rembourser, non, honteux, incompetents, cliente, lamentable, scandaleux, mecontente, ne, clientele, depart, expedition, reception, reconditionne, pas, reclamations, retractation, banque, clients"
38,"clientele, cliente, clients, client, remboursements, commande, commandes, mail, commandees, remboursent, annulation, remboursement, commanderais, incompetent, service, refuse, facture, incompetence, paiement, commandee, nul, non, commanderai, rembourse, payer, rembourser, mails, incompetents, reclamation, rembourses, ne, annuler, remboursee, envoi, zero, pas, commander, impossible, services, plainte, email, charge, regler, annulee, reclamations, inadmissible, regle, incapable, mecontente, regulierement"
39,"bijoux, bracelet, cadeau, pendant, marchandises, cadeaux, achats, robe, acheter, achat, argent, remboursements, boutique, achete, valise, remboursement, paiement, rembourses, emballage, remboursent, robes, rembourse, achetez, paquet, collection, mail, euros, amazon, clientele, mails, euro, cliente, rembourser, dedommagement, facture, annulation, nickel, remboursee, client, oreilles, confirmation, plastique, bancaire, boucles, articles, clients, annule, email, valeur, non"
40,"satisfaite, satisfait, heureusement, satisfaction, sympa, convient, mecontente, adore, super, contente, parfaite, parfait, bons, bonne, bonnes, remercie, excellent, merci, parfaitement, bien, bravo, accepte, bague, bon, souhaite, bientot, fortement, totalement, malheureusement, fin, mieux, ok, conforme, colissimo, voulais, aime, tellement, normalement, franchement, decevant, presque, envie, confirme, veux, respecte, soucis, respectes, enfin, voulu, vetement"
41,"rien, aucun, aucune, dire, tout, sans, bonne, bons, bien, mal, tot, bonnes, bon, parfaite, ne, parfait, bravo, ni, toute, ok, dont, mieux, nez, fin, bientot, quoi, non, pas, parle, faux, dis, nul, super, parfaitement, parler, disant, egalement, mauvaise, mauvais, ce, bague, sinon, peu, bout, convient, soit, sauf, quelque, pire, quel"
42,"bijoux, magnifique, belles, beaux, belle, beau, pendant, bracelet, robes, jolies, cadeaux, robe, qualites, excellent, cadeau, qualite, adore, chaussures, collier, collection, lunettes, oreilles, chaussure, boucles, sympa, couette, bague, pieces, cordialement, remercie, bonnes, merci, bons, valeur, marchandises, bonjour, super, agreable, choses, chers, plastique, argent, bijou, articles, bottines, serieux, cher, annee, baskets, lot"
43,"completement, parfaite, complete, parfait, tout, excellent, tot, totale, totalement, total, totalite, bonnes, bons, toutes, tous, ok, bonne, parfaitement, bien, correctement, incomplete, toute, mieux, bravo, marchandises, super, bon, bientot, emballage, absolument, correct, fin, contente, choses, convient, precise, transport, exactement, articles, mauvaise, transporteur, meilleur, juste, mauvais, magnifique, paquet, conforme, article, bague, chaque"
44,"couleurs, couleur, rouge, bleu, noir, blanc, image, ressemble, photo, inacceptable, photos, inadmissible, difference, incompetent, incompetence, egalement, lamentable, ras, different, differentes, faux, incomplete, inexistant, differents, incapable, identique, desagreable, non, incompetents, decevant, ne, pas, malheureusement, mediocre, dommage, aucun, endommage, ni, semble, produits, aucune, robes, defectueux, mauvaises, erreur, mauvaise, mal, mauvais, refuse, sans"
45,"image, photo, photos, inacceptable, inadmissible, incomplete, incompetent, incompetence, inexistant, incompetents, pose, ressemble, lamentable, defectueux, desagreable, endommage, egalement, article, incapable, aucun, com, aucune, mediocre, articles, erreur, malheureusement, plainte, refuse, impeccable, deplorable, faux, dommage, decevant, correspond, erreurs, correspondait, mauvaises, mauvaise, mauvais, sans, excuse, non, difference, scandaleux, impossible, refuser, different, mal, modele, fallait"
46,"avant, retard, tard, arrives, avance, arrivent, devant, arrive, venteprivee, arrivee, immediatement, rapidement, attendais, lendemain, arrivees, prochaine, attendu, arriver, attends, attente, prevue, vente, attend, attendre, espere, attendant, deja, rapide, preparation, depuis, pris, vite, instant, venir, commence, expediee, debut, prevenu, vient, fini, marchandise, finalement, rapidite, apres, jusqu, prendre, expedie, termine, longtemps, commandez"
47,"satisfaite, satisfait, satisfaction, heureusement, commande, commandee, commandes, accepte, mecontente, commandees, merci, commanderai, remercie, commandez, commander, sympa, commanderais, conforme, conformes, contente, regle, adore, convient, regulierement, attendais, super, excellent, decevant, moi, regler, respectes, confirme, parfaite, inacceptable, parfait, fortement, parfaitement, responsable, bons, bravo, recevoir, gestion, bien, bonne, respecte, franchement, malheureusement, eu, ok, confirmation"
48,"taille, tailles, grosse, grande, enorme, petites, mesure, petits, gros, petite, grand, hauteur, pantalon, shirt, minimum, robe, emballage, baskets, moyenne, mediocre, commande, commandes, regle, maillot, commandees, colissimo, erreur, plastique, parfaite, boutique, paquet, mail, commandee, manteau, parfait, chemise, excellent, defectueux, long, assez, achats, marchandises, tissus, forme, robes, modele, valise, acheter, commanderais, precise"
49,"rapidement, rapide, rapidite, immediatement, commande, commandes, commandee, commandees, arrives, retard, commandez, commanderais, commander, commanderai, expediee, instant, regle, expedie, attendant, tard, envoyer, envoyes, envoye, envoi, conformes, vite, arrivent, fort, arrive, reception, regulierement, regler, gestion, conforme, directement, arrivees, receptionne, accepte, arrivee, expedition, attente, envoie, venteprivee, preparation, amazon, marchandises, recevoir, novembre, seconde, correspondait"
50,"sac, paquet, emballage, valise, magnifique, beau, beaux, belles, bague, portable, excellent, emballe, belle, porter, super, bons, adore, bonnes, sympa, pantalon, parfaite, parfait, emballes, canape, bonne, mieux, baskets, transporteur, bravo, bon, tissu, bracelet, grosse, colissimo, meilleur, gros, enorme, heureusement, jolies, manteau, bonjour, bien, grande, robe, internet, bijoux, cartons, couette, qualite, mauvaise"
51,"semaine, semaines, lendemain, jours, fevrier, dates, date, octobre, septembre, novembre, aujourd, jour, journee, juillet, avril, mars, vacances, retard, juin, decembre, tard, mois, arrives, janvier, hui, attente, longtemps, venteprivee, immediatement, avant, mail, periode, matin, attendre, rapidement, attendant, vente, marchandises, incompetent, long, stock, attendais, incompetence, depuis, nouvelles, espere, dernier, attend, email, rendez"
52,"commande, commandees, commandee, commandes, regle, commandez, commanderais, conformes, commanderai, commander, conforme, regler, regulierement, arrives, correspondait, correspond, accepte, gestion, concerne, envoi, offrir, recevoir, prevenu, marchandises, envoyer, produit, envoyes, responsable, produits, offre, obligee, oblige, reception, envoye, livraison, concernant, livrer, offert, livraisons, indiquee, receptionne, devoir, reserve, suivi, repondent, attendant, indique, arrivent, reconditionne, dedommagement"
53,"montre, heure, heures, bijoux, bracelet, cadeau, minutes, facture, cadeaux, acheter, cliente, euro, clientele, achete, achetez, pendant, amazon, collection, euros, temps, periode, remboursement, client, lunettes, present, remboursent, refuse, reception, remboursements, achat, paiement, rembourse, incompetent, collier, payer, honte, attendant, incompetence, mail, retard, iphone, rembourser, clients, receptionne, boutique, achats, service, showroomprive, remboursee, rien"
54,"showroom, showroomprive, satisfaction, satisfait, excellent, satisfaite, reception, heureusement, receptionne, acheter, premiere, montre, contente, boutique, surprise, achat, robe, achats, achete, sympa, vendeur, merci, bonjour, bonnes, commande, commercial, bons, adore, ventes, super, remercie, magnifique, vendre, cliente, arrives, offre, parfaite, vendent, meuble, robes, parfait, clientele, publicite, reservation, achetez, attendant, commander, present, reserve, bonne"
55,"rapidement, rapide, rapidite, immediatement, retard, tard, instant, meilleur, arrives, expediee, mieux, expedie, vite, excellent, fort, novembre, presque, avant, venteprivee, attendant, seconde, attendais, attendre, espere, vente, arrive, arrivent, minutes, avance, attente, longtemps, attendu, attends, preparation, transport, directement, prefere, attend, long, second, arrivee, efficace, precise, bonnes, facile, arrivees, longue, envoi, lendemain, envoyer"
56,"iphone, appli, telephonique, telephone, remboursements, remboursement, appel, acheter, remboursent, reconditionne, reclamation, rembourse, remboursee, appels, achete, portable, rembourses, achats, charge, consommateurs, rembourser, achetez, achat, plainte, amazon, facture, payer, defectueux, reclamations, annulation, meuble, appeler, incompetence, paiement, celle, appele, regrette, email, application, excuse, decevant, retractation, annule, cliente, excuses, dedommagement, incompetent, euros, clientele, lamentable"
57,"description, descriptif, explique, explication, expliquer, explications, comprendre, entendre, comprend, article, conformes, comprends, conforme, correspond, compris, correspondait, indiquee, conclusion, articles, completement, indique, precise, accepte, clairement, indiquant, complique, contente, comment, selon, incomplete, complete, totalement, concernant, informant, informer, convient, produits, com, excellent, dis, exactement, validee, termine, parfaite, note, parfait, constate, preuve, concerne, annonce"
58,"description, descriptif, rapide, rapidement, explique, rapidite, expliquer, explication, explications, immediatement, comprendre, article, arrives, entendre, expediee, comprend, articles, instant, precise, complique, retard, comprends, compris, expedie, completement, envoye, conformes, envoyes, envoyer, conclusion, conforme, complete, correspond, vite, produits, comment, incomplete, excellent, tard, preparation, clairement, contente, envoie, indiquee, accepte, reception, produit, envoi, long, simple"
59,"deux, dois, deuxieme, dos, trois, tres, second, articles, article, seconde, incompetence, incompetents, incompetent, inadmissible, incomplete, inacceptable, paire, plusieurs, commandes, commandees, aucune, erreurs, produits, regle, paires, inexistant, une, commande, refuse, erreur, defectueux, marchandises, dedommagement, un, zero, reclamations, commandee, aucun, objet, regler, nul, quelques, incapable, faute, refuser, egalement, manquants, choses, manque, reclamation"
60,"description, descriptif, periode, explique, explication, expliquer, explications, temps, article, dates, moment, articles, comprendre, arrives, heure, long, conformes, instant, entendre, date, immediatement, longtemps, heures, minutes, present, comprend, conforme, longs, conclusion, correspond, comprends, produits, compris, longue, precise, reception, envoye, retard, envoyes, presente, accepte, lorsque, contente, lorsqu, completement, quand, correspondait, attendant, comment, attente"
61,"satisfaite, satisfait, satisfaction, heureusement, mecontente, sympa, commande, commandee, accepte, contente, remercie, conforme, commanderai, merci, commandez, conformes, fortement, excellent, commandees, respectes, adore, commandes, commanderais, souhaite, respecte, recevoir, geste, convient, envie, cordialement, commander, decevant, super, correspondait, offrir, totalement, agreable, malheureusement, obligee, moi, regrette, colissimo, bientot, correspond, inacceptable, chers, honteux, presque, aime, confirme"
62,"rapide, rapidement, rapidite, immediatement, robe, robes, shirt, pantalon, excellent, qualites, qualite, instant, novembre, retard, maillot, marchandises, expediee, manteau, vite, tard, bonnes, arrives, expedie, parfaite, precise, bons, parfait, fort, boutique, efficace, achats, beaux, belles, achete, chaussures, seconde, agreable, acheter, transport, validee, conditions, super, mieux, tissus, chemise, magnifique, meilleur, achat, choses, bonne"
63,"venteprivee, attentes, attente, espere, attendais, attendre, vente, attends, attendu, rapidement, attend, attendant, immediatement, rapide, rapidite, retard, arrives, prevue, patienter, tard, instant, preparation, decevant, satisfaction, surprise, aupres, novembre, expediee, produits, produit, pris, minutes, satisfait, demandant, moment, satisfaite, reception, offre, expedie, arrivent, demandes, respect, vite, arrive, reserve, offert, receptionne, seconde, reservation, garantie"
64,"chaussure, chaussures, pieds, sandales, baskets, pied, contacte, paires, contacter, contact, commandes, commandees, paire, tailles, pantalon, commande, correspondent, bottines, gestion, regle, boutique, taille, regler, commandee, excuses, excuse, commanderais, achats, marchandises, erreurs, commanderai, mails, communication, defectueux, clients, deux, facture, deuxieme, incompetence, erreur, clientele, cliente, mail, remboursements, tres, mesure, dois, incompetents, lunettes, petites"
65,"oreilles, bijoux, boucles, defectueux, lamentable, lunettes, ecoute, mauvaises, incompetent, dommage, incompetence, incompetents, bracelet, mauvaise, collier, mauvais, scandaleux, honte, honteux, endommage, deplorable, decevant, pendant, ah, mal, colis, mediocre, excuse, excuses, chaussures, erreurs, rupture, mecontente, chaussure, pire, erreur, tailles, regrette, petites, casses, petits, bottines, emballes, defauts, impeccable, inadmissible, catastrophique, abimes, malgre, incomplete"
66,"rien, tout, aucun, tot, aucune, sans, mal, toute, parfaite, parfait, mauvaise, bonne, mauvais, ne, bons, bientot, ni, bonnes, mieux, bien, bravo, bon, nul, fin, nez, non, dont, pire, ok, sauf, mauvaises, pas, fallait, egalement, toutes, bague, faux, super, peu, manque, parfaitement, bout, encore, convient, personne, reponse, redire, moindre, tous, totalement"
67,"photo, image, photos, ressemble, com, correspondait, correspond, conformes, conforme, pose, semble, selon, identique, avec, privee, comme, constate, prive, convient, exactement, pareil, indiquee, confirme, cette, concernant, correctement, indique, accepte, dessus, article, privees, vue, correct, met, depuis, faite, concerne, ainsi, dit, rappelle, apparemment, mettre, lors, parfaitement, sur, voir, vide, vetement, devait, beaux"
68,"fils, enfants, fille, satisfait, satisfaite, heureusement, satisfaction, cadeaux, magnifique, petit, excellent, adore, belle, cadeau, annees, belles, sympa, remercie, petits, beaux, contente, beau, petite, merci, super, bonnes, petites, bons, parfaite, annee, parfait, son, mieux, aime, bonne, cordialement, anniversaire, meilleur, moi, acheter, bonjour, eu, me, mi, donner, achete, qualite, achat, present, bague"
